"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000001082",0.247980649694746,0.311503339123541,"Mfsd10","non-significant"
"ENSMUSG00000001089",-0.240271510131727,0.0363453817556881,"Luzp1","significant"
"ENSMUSG00000001098",0.0533553561760044,0.800999719284012,"Kctd10","non-significant"
"ENSMUSG00000001100",-0.0530366563244864,0.387849037614396,"Poldip2","non-significant"
"ENSMUSG00000001103",-0.751346487758795,0.730008352725865,"Sebox","non-significant"
"ENSMUSG00000001105",0.395650656219057,0.00160945395465806,"Ift20","significant"
"ENSMUSG00000001119",0.339300072282053,0.123266583739016,"Col6a1","non-significant"
"ENSMUSG00000001120",0.375042315528406,0.134459444035306,"Pcbp3","non-significant"
"ENSMUSG00000001123",0.395042276826643,0.00414547936428364,"Lgals9","significant"
"ENSMUSG00000001127",-0.0340769408818735,0.613209390017399,"Araf","non-significant"
"ENSMUSG00000001128",0.533531290113378,0.00174859967999286,"Cfp","significant"
"ENSMUSG00000001131",3.90097787856021,1.14641728338166e-20,"Timp1","significant"
"ENSMUSG00000001134",-0.104762485258107,0.478430327525702,"Uxt","non-significant"
"ENSMUSG00000001138",-0.366408439620466,0.000161090841196457,"Cnnm3","significant"
"ENSMUSG00000001143",-0.117100822777386,0.359445183853909,"Lman2l","non-significant"
"ENSMUSG00000001150",-0.139851365824701,0.0992686354990571,"Mcm3ap","non-significant"
"ENSMUSG00000001151",-0.140039933263732,0.390788232014484,"Pcnt","non-significant"
"ENSMUSG00000001155",2.00944907774598,0.303421302697038,"Ftcd","non-significant"
"ENSMUSG00000001156",-0.227962981889299,0.233155599125893,"Mxd1","non-significant"
"ENSMUSG00000001157",0.207781854043072,0.170445357108632,"Gmcl1","non-significant"
"ENSMUSG00000001158",-0.0655989877935945,0.561572846439857,"Snrnp27","non-significant"
"ENSMUSG00000001166",0.704916710878923,0.206462543735857,"Oas1c","non-significant"
"ENSMUSG00000001173",-0.248474106291092,0.0960022688383877,"Ocrl","non-significant"
"ENSMUSG00000001175",-0.577811976401448,2.55660530803894e-11,"Calm1","significant"
"ENSMUSG00000001211",-0.427187644188649,1.14352726550428e-13,"Agpat3","significant"
"ENSMUSG00000001227",-0.325574191594546,0.261907774714528,"Sema6b","non-significant"
"ENSMUSG00000001228",1.84232610186663,0.000338433966288384,"Uhrf1","significant"
"ENSMUSG00000001229",-0.132760901877796,0.105388780709355,"Dpp9","non-significant"
"ENSMUSG00000001240",-0.159266854269581,0.573460911796908,"Ramp2","non-significant"
"ENSMUSG00000001247",0.337757764053365,0.472979578842219,"Lsr","non-significant"
"ENSMUSG00000001248",-0.16777942754013,0.267640015738953,"Gramd1a","non-significant"
"ENSMUSG00000001249",0.46638472242053,0.0307803017989966,"Hpn","significant"
"ENSMUSG00000001260",1.74137607614909,0.364860219844173,"Gabrg1","non-significant"
"ENSMUSG00000001270",0.345842842516787,0.161528744775299,"Ckb","non-significant"
"ENSMUSG00000001280",-0.00956240139973994,0.944447607314664,"Sp1","non-significant"
"ENSMUSG00000001281",-0.0515134691027868,0.926243264514713,"Itgb7","non-significant"
"ENSMUSG00000001285",-0.00861853123841048,0.963528950861617,"Myg1","non-significant"
"ENSMUSG00000001288",0.0638298853170022,0.834815579087932,"Rarg","non-significant"
"ENSMUSG00000001289",0.0706214442756534,0.543979793685986,"Pfdn5","non-significant"
"ENSMUSG00000001300",-0.203214733116057,0.343929524814046,"Efnb2","non-significant"
"ENSMUSG00000001305",-0.000263964451609401,0.998712408657259,"Rrp15","non-significant"
"ENSMUSG00000001313",0.821501397368665,6.37647182814221e-05,"Rnd2","significant"
"ENSMUSG00000001323",-0.297497977540224,0.00205559740878322,"Srr","significant"
"ENSMUSG00000001333",0.394392109465978,4.42043083536023e-07,"Sync","significant"
"ENSMUSG00000001334",-0.431323320407315,0.00200659793069232,"Fndc5","significant"
"ENSMUSG00000001348",1.65944855827018,0.0452160757195581,"Acp5","significant"
"ENSMUSG00000001349",0.073977771827909,0.89931386526985,"Cnn1","non-significant"
"ENSMUSG00000001366",-0.269752182965327,0.00331171477031509,"Fbxo9","significant"
"ENSMUSG00000001376",-0.160458308990595,0.0285862225131619,"Vps50","significant"
"ENSMUSG00000001380",0.260668995592508,4.05468940573448e-05,"Hars1","significant"
"ENSMUSG00000001383",-0.0182929626561228,0.901817052302587,"Zmat2","non-significant"
"ENSMUSG00000001403",-0.297350574048935,0.191197653409993,"Ube2c","non-significant"
"ENSMUSG00000001415",0.036114032629161,0.797753718517257,"Smg5","non-significant"
"ENSMUSG00000001416",0.235256384909059,0.00492164604626669,"Cct3","significant"
"ENSMUSG00000001418",-0.195944846322687,0.0346640730154671,"Glmp","significant"
"ENSMUSG00000001419",-0.256411005579216,2.25525285279557e-06,"Mef2d","significant"
"ENSMUSG00000001420",0.352441035624275,0.11015964377439,"Tmem79","non-significant"
"ENSMUSG00000001424",0.906735235520167,3.47656987429828e-22,"Snd1","significant"
"ENSMUSG00000001435",0.422675934399333,0.0425674148948393,"Col18a1","significant"
"ENSMUSG00000001436",-0.0864937765095423,0.613957964349529,"Slc19a1","non-significant"
"ENSMUSG00000001440",0.0841933313087637,0.297738813952082,"Kpnb1","non-significant"
"ENSMUSG00000001441",0.173492039366082,0.0165104606913807,"Npepps","significant"
"ENSMUSG00000001444",-0.0384148527977979,0.956461124185299,"Tbx21","non-significant"
"ENSMUSG00000001445",-0.0977784154057919,0.218928423207906,"Mrpl10","non-significant"
