"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016358","GO:0016358","dendrite development","13/376","332/28832",0.0391566265060241,3.00256344527044,4.21861357256767,0.000464221480437034,0.0235249907120154,0.0198780478219494,"18053/12162/20393/110197/53972/70584/18479/19268/241638/243961/227541/14366/329934",13
"GO:0038127","GO:0038127","ERBB signaling pathway","9/376","173/28832",0.0520231213872832,3.9891772229738,4.53295125706958,0.000470909300588645,0.0235249907120154,0.0198780478219494,"12978/67845/13841/13874/19713/52614/19268/71920/100042150",9
"GO:0015740","GO:0015740","C4-dicarboxylate transport","4/376","29/28832",0.137931034482759,10.5766691122524,5.93104840360883,0.000522358569222465,0.0252420617296409,0.0213289312769048,"20511/114644/68267/268860",4
"GO:0031649","GO:0031649","heat generation","4/376","29/28832",0.137931034482759,10.5766691122524,5.93104840360883,0.000522358569222465,0.0252420617296409,0.0213289312769048,"21934/26457/268860/12774",4
"GO:0001774","GO:0001774","microglial cell activation","5/376","51/28832",0.0980392156862745,7.5177304964539,5.35507301210453,0.000527249331167434,0.0252420617296409,0.0213289312769048,"106763/12978/12362/16409/13051",5
"GO:0035966","GO:0035966","response to topologically incorrect protein","8/376","141/28832",0.0567375886524823,4.35068658518183,4.58466249315517,0.000545795270783187,0.0255030408018731,0.0215494522769709,"20856/69065/29810/69310/208647/80888/70551/231630",8
"GO:0009062","GO:0009062","fatty acid catabolic process","7/376","108/28832",0.0648148148148148,4.97005516154452,4.75141330215485,0.000547497829805225,0.0255030408018731,0.0215494522769709,"16890/235674/15112/14073/384783/56690/12895",7
"GO:0050728","GO:0050728","negative regulation of inflammatory response","9/376","177/28832",0.0508474576271186,3.89902632527948,4.44708504932945,0.000555550225137826,0.0255330883473345,0.0215748417257034,"11433/109934/19123/11689/100340/333654/13024/432940/13051",9
"GO:0042761","GO:0042761","very long-chain fatty acid biosynthetic process","3/376","13/28832",0.230769230769231,17.69558101473,6.9210280502542,0.000571017546848655,0.0258986511050963,0.0218837334090059,"12686/170439/30963",3
"GO:0007623","GO:0007623","circadian rhythm","11/376","256/28832",0.04296875,3.29488031914894,4.23951479255358,0.0005849900757151,0.0261868629274827,0.022127265423891,"18053/15567/12362/21934/14068/57746/21847/13123/16490/13170/11898",11
"GO:0034219","GO:0034219","carbohydrate transmembrane transport","8/376","143/28832",0.0559440559440559,4.28983782175272,4.53337507079717,0.00059907203408763,0.0261868629274827,0.022127265423891,"11826/23921/20511/76686/20525/26457/64008/384783",8
"GO:0009314","GO:0009314","response to radiation","16/376","478/28832",0.0334728033472803,2.56672304816167,3.97041463153134,0.000607353262360588,0.0261868629274827,0.022127265423891,"170770/11826/20511/15586/12298/20393/106052/19662/17380/244209/14539/12955/235323/70335/319162/12895",16
"GO:0051899","GO:0051899","membrane depolarization","7/376","110/28832",0.0636363636363636,4.87969052224371,4.68622284609656,0.000611151916624459,0.0261868629274827,0.022127265423891,"18053/15567/14199/12362/20271/399548/235281",7
"GO:0043603","GO:0043603","amide metabolic process","16/376","479/28832",0.0334029227557411,2.5613645449296,3.96104166356617,0.000621039537295089,0.0261868629274827,0.022127265423891,"20511/70008/171210/11307/69065/17380/56720/100340/107747/18416/12686/12012/170439/216028/56690/11898",16
"GO:0031109","GO:0031109","microtubule polymerization or depolymerization","8/376","144/28832",0.0555555555555556,4.26004728132388,4.50808253040974,0.00062724257556082,0.0261868629274827,0.022127265423891,"76686/545486/20393/56471/228421/72119/18479/12955",8
"GO:0170038","GO:0170038","proteinogenic amino acid biosynthetic process","5/376","53/28832",0.0943396226415094,7.23404255319149,5.22163724028564,0.000630551094569499,0.0261868629274827,0.022127265423891,"209027/15112/18416/216456/11898",5
"GO:0016042","GO:0016042","lipid catabolic process","13/376","347/28832",0.037463976945245,2.87276963639708,4.03438958842074,0.000700278240351234,0.028736417791556,0.0242815775821036,"11818/16890/235674/30955/171210/15112/320024/67758/100340/14073/384783/56690/12895",13
"GO:0008643","GO:0008643","carbohydrate transport","8/376","147/28832",0.054421768707483,4.1731075408887,4.43356296721989,0.00071822854344531,0.0291262798735998,0.0246110016063551,"11826/23921/20511/76686/20525/26457/64008/384783",8
"GO:0002269","GO:0002269","leukocyte activation involved in inflammatory response","5/376","55/28832",0.0909090909090909,6.97098646034816,5.09496872138341,0.000748308560887081,0.0299932512718345,0.0253435714562369,"106763/12978/12362/16409/13051",5
"GO:0019433","GO:0019433","triglyceride catabolic process","4/376","32/28832",0.125,9.58510638297872,5.58548996426588,0.000766892584367168,0.0300395311172003,0.0253826768055497,"11818/16890/30955/67758",4
"GO:0042537","GO:0042537","benzene-containing compound metabolic process","4/376","32/28832",0.125,9.58510638297872,5.58548996426588,0.000766892584367168,0.0300395311172003,0.0253826768055497,"235674/56720/14085/237320",4
"GO:0070482","GO:0070482","response to oxygen levels","15/376","444/28832",0.0337837837837838,2.59056929269695,3.88251846585484,0.000812163917556532,0.0311375620747945,0.0263104863912041,"170770/11826/18654/20856/15567/171210/66214/12362/20525/18479/14068/12955/22229/14366/268860",15
"GO:0061756","GO:0061756","leukocyte adhesion to vascular endothelial cell","5/376","56/28832",0.0892857142857143,6.84650455927052,5.0339853024298,0.000812991176887586,0.0311375620747945,0.0263104863912041,"11689/16409/14537/14723/13051",5
"GO:0071478","GO:0071478","cellular response to radiation","9/376","189/28832",0.0476190476190476,3.65146909827761,4.2038292725416,0.00088708124819314,0.0327559294172694,0.0276779676293908,"170770/11826/15586/106052/17380/14539/12955/235323/319162",9
"GO:0030497","GO:0030497","fatty acid elongation","3/376","15/28832",0.2,15.336170212766,6.38397598171015,0.000891008024025982,0.0327559294172694,0.0276779676293908,"12686/170439/30963",3
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","3/376","15/28832",0.2,15.336170212766,6.38397598171015,0.000891008024025982,0.0327559294172694,0.0276779676293908,"11818/54368/14723",3
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport","8/376","152/28832",0.0526315789473684,4.03583426651736,4.31367209092816,0.000893257141056955,0.0327559294172694,0.0276779676293908,"13358/20511/70008/114644/68267/20525/26457/384783",8
"GO:0007611","GO:0007611","learning or memory","13/376","357/28832",0.0364145658263305,2.79229989868288,3.9169657252892,0.000908261535229732,0.0329555527572304,0.0278466445205614,"106763/20393/15567/225870/12362/17380/114142/18479/18190/243961/13123/329934/13051",13
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","10/376","230/28832",0.0434782608695652,3.33395004625347,4.08501939512249,0.000939858829768229,0.0337468061063655,0.0285152344514111,"76267/11689/21391/237320/12686/13123/12012/170439/30963/56690",10
"GO:0001780","GO:0001780","neutrophil homeostasis","4/376","34/28832",0.117647058823529,9.02127659574468,5.37945942958745,0.000968954360326698,0.0344328420623312,0.029094918231405,"12978/109246/16409/18707",4
"GO:0006639","GO:0006639","acylglycerol metabolic process","8/376","155/28832",0.0516129032258065,3.95772134522992,4.24417317298676,0.00101368855134975,0.0356549432296184,0.0301275641416194,"11818/16890/30955/110197/67758/26457/14073/103161",8
"GO:0038063","GO:0038063","collagen-activated tyrosine kinase receptor signaling pathway","5/376","59/28832",0.0847457627118644,6.49837720879913,4.85964800071349,0.00103213976173845,0.0356996134238286,0.030165309374661,"12978/13841/19713/109246/243816",5
"GO:0050900","GO:0050900","leukocyte migration","14/376","408/28832",0.0343137254901961,2.63120567375887,3.81445992999501,0.00103567198792656,0.0356996134238286,0.030165309374661,"18654/22388/109934/12978/11689/16409/14068/16399/14537/227541/13123/14723/76088/13051",14
"GO:1903825","GO:1903825","organic acid transmembrane transport","8/376","156/28832",0.0512820512820513,3.93235133660666,4.22139378463412,0.00105659809128497,0.0359967825123702,0.0304164100626718,"13358/20511/70008/114644/68267/20525/26457/384783",8
"GO:0015718","GO:0015718","monocarboxylic acid transport","9/376","194/28832",0.0463917525773196,3.55735906997148,4.10826152364495,0.00106582979232657,0.0359967825123702,0.0304164100626718,"76408/20519/68039/21934/20525/26457/64008/384783/12895",9
"GO:0010896","GO:0010896","regulation of triglyceride catabolic process","3/376","16/28832",0.1875,14.3776595744681,6.15262057033668,0.00108606480455077,0.0359967825123702,0.0304164100626718,"11818/30955/67758",3
"GO:0086012","GO:0086012","membrane depolarization during cardiac muscle cell action potential","3/376","16/28832",0.1875,14.3776595744681,6.15262057033668,0.00108606480455077,0.0359967825123702,0.0304164100626718,"20271/399548/235281",3
"GO:0006638","GO:0006638","neutral lipid metabolic process","8/376","157/28832",0.0509554140127389,3.90730451280661,4.19880286398437,0.00110094698627838,0.0361425167781102,0.0305395519902985,"11818/16890/30955/110197/67758/26457/14073/103161",8
"GO:0001961","GO:0001961","positive regulation of cytokine-mediated signaling pathway","5/376","60/28832",0.0833333333333333,6.39007092198582,4.8042093976817,0.0011140901647681,0.0362289509241097,0.0306125867518701,"53603/12362/15458/245945/434341",5
"GO:0008202","GO:0008202","steroid metabolic process","13/376","366/28832",0.0355191256830601,2.72363678642018,3.81469591238533,0.00113752447104805,0.0366452976794638,0.0309643896841117,"13121/16890/235674/20775/11307/56388/244209/66234/13123/12012/103161/22238/13112",13
"GO:0061900","GO:0061900","glial cell activation","5/376","61/28832",0.0819672131147541,6.28531566096965,4.75001759901707,0.00120076198098494,0.0383243198931027,0.0323831228205198,"106763/12978/12362/16409/13051",5
"GO:0001959","GO:0001959","regulation of cytokine-mediated signaling pathway","8/376","160/28832",0.05,3.83404255319149,4.13213225838803,0.00124297745815509,0.0393077366812898,0.0332140862068096,"53603/12362/15458/19268/432940/245945/17951/434341",8
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","5/376","62/28832",0.0806451612903226,6.18393960192176,4.69702310114669,0.00129231997305058,0.0398418686320993,0.0336654147786844,"209027/15112/18416/216456/11898",5
"GO:0006544","GO:0006544","glycine metabolic process","3/376","17/28832",0.176470588235294,13.531914893617,5.94113519257168,0.00130610129255214,0.0398418686320993,0.0336654147786844,"14711/15112/12012",3
"GO:1902001","GO:1902001","fatty acid transmembrane transport","3/376","17/28832",0.176470588235294,13.531914893617,5.94113519257168,0.00130610129255214,0.0398418686320993,0.0336654147786844,"20525/26457/384783",3
"GO:1902222","GO:1902222","erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process","3/376","17/28832",0.176470588235294,13.531914893617,5.94113519257168,0.00130610129255214,0.0398418686320993,0.0336654147786844,"15233/56720/14085",3
"GO:0032355","GO:0032355","response to estradiol","7/376","126/28832",0.0555555555555556,4.26004728132388,4.21560276341585,0.00135876747724373,0.0410848376671854,0.0347156935321643,"12162/15567/228421/14068/12955/16008/11898",7
"GO:0034620","GO:0034620","cellular response to unfolded protein","6/376","93/28832",0.0645161290322581,4.94715168153741,4.3825442856728,0.00138901089680944,0.0412751772526047,0.034876525875424,"20856/29810/69310/80888/70551/231630",6
"GO:0045670","GO:0045670","regulation of osteoclast differentiation","6/376","93/28832",0.0645161290322581,4.94715168153741,4.3825442856728,0.00138901089680944,0.0412751772526047,0.034876525875424,"12978/21934/170826/21847/234515/102791",6
