"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000001656",-0.327139423654575,0.0021194821126572,"Hoxc11","significant"
"ENSMUSG00000001657",-0.0381775669751064,0.913869975774303,"Hoxc8","non-significant"
"ENSMUSG00000001661",0.289145680016465,0.0675632102654106,"Hoxc6","non-significant"
"ENSMUSG00000001663",0.152322140163791,0.545875740942018,"Gstt1","non-significant"
"ENSMUSG00000001665",0.196810038719994,0.587010477473662,"Gstt3","non-significant"
"ENSMUSG00000001666",0.523580074720468,0.025456462649903,"Ddt","significant"
"ENSMUSG00000001670",0.521329632105723,0.872145617167562,"Tat","non-significant"
"ENSMUSG00000001672",2.96645981038966,0.113973363130513,"Marveld3","non-significant"
"ENSMUSG00000001674",0.0840584707666461,0.487703045500404,"Ddx18","non-significant"
"ENSMUSG00000001687",-0.431311840902646,4.46044360102728e-10,"Ubl3","significant"
"ENSMUSG00000001700",0.00549843069408506,0.978003396539814,"Gramd2b","non-significant"
"ENSMUSG00000001707",0.132850837399476,0.341574350782228,"Eef1e1","non-significant"
"ENSMUSG00000001729",0.311099280275917,0.00411907403227028,"Akt1","significant"
"ENSMUSG00000001739",0.163222117193134,0.644155518264468,"Cldn15","non-significant"
"ENSMUSG00000001741",0.203875999910605,0.431160917539622,"Il16","non-significant"
"ENSMUSG00000001750",0.436135625597144,0.000728814762486884,"Tcirg1","significant"
"ENSMUSG00000001751",0.0391480985862377,0.883994654203841,"Naglu","non-significant"
"ENSMUSG00000001755",0.108294827146764,0.549165451817028,"Coasy","non-significant"
"ENSMUSG00000001761",0.490704967678218,0.0109746484889201,"Smo","significant"
"ENSMUSG00000001763",-0.289475018053074,0.153664933524593,"Tspan33","non-significant"
"ENSMUSG00000001767",0.0767711154109263,0.579809418834892,"Crnkl1","non-significant"
"ENSMUSG00000001768",0.260935992721065,0.134842549363372,"Rin2","non-significant"
"ENSMUSG00000001773",0.254872594447184,0.909892923880863,"Folh1","non-significant"
"ENSMUSG00000001774",-0.191745755537989,0.0379515417360301,"Chordc1","significant"
"ENSMUSG00000001783",0.0505276557168859,0.503747420630625,"Rtcb","non-significant"
"ENSMUSG00000001785",-0.0177762221104228,0.893539129522439,"Pwp1","non-significant"
"ENSMUSG00000001786",-0.215655939947073,0.109737526818964,"Fbxo7","non-significant"
"ENSMUSG00000001794",0.332658004913331,4.07440347087648e-06,"Capns1","significant"
"ENSMUSG00000001802",-0.0136085946196461,0.944062226073384,"Lrp3","non-significant"
"ENSMUSG00000001827",1.25028025561208,0.138319073910647,"Folr1","non-significant"
"ENSMUSG00000001829",-0.320049654152589,6.61261824748743e-06,"Clpb","significant"
"ENSMUSG00000001833",0.0978727304059552,0.118236722178602,"Septin7","non-significant"
"ENSMUSG00000001844",-0.127442589305488,0.27353393525971,"Zdhhc4","non-significant"
"ENSMUSG00000001847",-0.28005676971753,7.38023448332668e-08,"Rac1","significant"
"ENSMUSG00000001855",-0.244552757248103,0.00150852734498907,"Nup214","significant"
"ENSMUSG00000001864",1.82466288806421,2.9099685369224e-21,"Aif1l","significant"
"ENSMUSG00000001865",0.602038487346811,0.324159137445474,"Cpa3","non-significant"
"ENSMUSG00000001870",0.213600334844753,0.286187437089495,"Ltbp1","non-significant"
"ENSMUSG00000001891",-0.0277397216379554,0.890925817253764,"Ugp2","non-significant"
"ENSMUSG00000001909",-0.146810058343242,0.0684574529252536,"Trmt1","non-significant"
"ENSMUSG00000001910",0.0547993738574779,0.60305185941453,"Nacc1","non-significant"
"ENSMUSG00000001911",-0.268554918237402,1.04765944977947e-06,"Nfix","significant"
"ENSMUSG00000001918",0.470645869523654,0.0116358174501803,"Slc1a5","significant"
"ENSMUSG00000001924",-0.162375368721129,0.00113949934092174,"Uba1","significant"
"ENSMUSG00000001930",-0.413481279649472,0.0221068074773824,"Vwf","significant"
"ENSMUSG00000001942",-0.222726623186234,0.193041985140331,"Siae","non-significant"
"ENSMUSG00000001943",-0.403268270316237,0.163848927043103,"Vsig2","non-significant"
"ENSMUSG00000001946",-0.263555189251874,0.121378278109275,"Esam","non-significant"
"ENSMUSG00000001948",-0.0248482552508803,0.943982014492373,"Spa17","non-significant"
"ENSMUSG00000001962",-0.0726384684705772,0.550643373548912,"Fam50a","non-significant"
"ENSMUSG00000001964",-0.0962518318705522,0.585760861422163,"Emd","non-significant"
"ENSMUSG00000001983",-0.286031440708573,0.00616987901048548,"Taco1","significant"
"ENSMUSG00000001985",0.000451581171936731,0.999729561500184,"Grik3","non-significant"
"ENSMUSG00000001986",0.33813678533029,0.38197435539815,"Gria3","non-significant"
"ENSMUSG00000001995",-0.696028078114447,0.00264431057089483,"Sipa1l2","significant"
"ENSMUSG00000001998",-0.268114802081845,0.00982184451242183,"Ap4e1","significant"
"ENSMUSG00000001999",-0.130489995092846,0.45489277767497,"Blvra","non-significant"
"ENSMUSG00000002006",0.221570834937527,0.639440706864036,"Pdzd4","non-significant"
"ENSMUSG00000002007",0.0391279111357621,0.762221010350967,"Srpk3","non-significant"
"ENSMUSG00000002010",-0.161480057851213,0.0777976853490571,"Idh3g","non-significant"
