"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000000811",-0.157234380265864,0.820741938516315,"Txnrd3","non-significant"
"ENSMUSG00000000823",-0.00587554117334208,0.991188569342061,"Zfp512b","non-significant"
"ENSMUSG00000000826",-0.067735499242453,0.871323735336378,"Dnajc5","non-significant"
"ENSMUSG00000000827",-0.107969688055126,0.592985268097742,"Tpd52l2","non-significant"
"ENSMUSG00000000838",0.222210306115075,0.343327776705749,"Fmr1","non-significant"
"ENSMUSG00000000876",-0.0860535393731808,0.872491687860457,"Pxmp4","non-significant"
"ENSMUSG00000000881",0.114614819740393,0.91099006898321,"Dlg3","non-significant"
"ENSMUSG00000000884",0.196308708898363,0.862395032139814,"Gnb1l","non-significant"
"ENSMUSG00000000901",-0.0063730059494315,0.995383315113073,"Mmp11","non-significant"
"ENSMUSG00000000902",-0.00329304345483602,0.995294386931597,"Smarcb1","non-significant"
"ENSMUSG00000000915",0.0773786772733895,0.922198827671799,"Hip1r","non-significant"
"ENSMUSG00000000916",-0.0681092251774798,0.91099006898321,"Nsun5","non-significant"
"ENSMUSG00000000934",0.0620104515851992,0.92211214894358,"Top1mt","non-significant"
"ENSMUSG00000000938",0.114804883337456,0.814160831385757,"Hoxa10","non-significant"
"ENSMUSG00000000942",-0.202658241567726,0.831503303181627,"Hoxa4","non-significant"
"ENSMUSG00000000957",0.271463843988067,0.837459560774754,"Mmp14","non-significant"
"ENSMUSG00000000958",0.0454407346489461,0.981341754370055,"Slc7a7","non-significant"
"ENSMUSG00000000959",0.000186521046636644,0.999844193374607,"Oxa1l","non-significant"
"ENSMUSG00000000976",0.127637431887191,0.631330879342716,"Heatr6","non-significant"
"ENSMUSG00000001014",-0.151532362449156,0.970315184363717,"Icam4","non-significant"
"ENSMUSG00000001016",-0.0138363944269104,0.977892924212673,"Ilf2","non-significant"
"ENSMUSG00000001017",-0.0491290776751593,0.89036227630975,"Chtop","non-significant"
"ENSMUSG00000001018",-0.0443538189304425,0.872438306818569,"Snapin","non-significant"
"ENSMUSG00000001025",-0.335864439102384,0.649634001730734,"S100a6","non-significant"
"ENSMUSG00000001027",0.110996052671648,0.82030071832054,"Scn4a","non-significant"
"ENSMUSG00000001029",0.422121050204776,0.525365798225357,"Icam2","non-significant"
"ENSMUSG00000001034",0.115477469071007,0.909300109206781,"Mapk7","non-significant"
"ENSMUSG00000001036",0.0515636807397597,0.913111704569411,"Epn2","non-significant"
"ENSMUSG00000001039",0.285750960887656,0.797165189506339,"B9d1","non-significant"
"ENSMUSG00000001052",0.052270275008382,0.906106478023438,"Sec24b","non-significant"
"ENSMUSG00000001053",0.228239344479812,0.825273409953764,"N4bp3","non-significant"
