"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000001056",0.0530131485341469,1,"Nhp2","non-significant"
"ENSMUSG00000001062",-0.0790692525287689,1,"Vps9d1","non-significant"
"ENSMUSG00000001065",-0.155652756383707,1,"Zfp276","non-significant"
"ENSMUSG00000001076",-0.0649139005170598,1,"C1ql4","non-significant"
"ENSMUSG00000001082",0.207467190050522,1,"Mfsd10","non-significant"
"ENSMUSG00000001089",-0.0499322102859394,1,"Luzp1","non-significant"
"ENSMUSG00000001095",-0.749791127855238,1,"Slc13a2","non-significant"
"ENSMUSG00000001098",0.0234278792605005,1,"Kctd10","non-significant"
"ENSMUSG00000001100",0.0467626424136653,1,"Poldip2","non-significant"
"ENSMUSG00000001103",0.468499450780739,1,"Sebox","non-significant"
"ENSMUSG00000001105",0.0441054331213442,1,"Ift20","non-significant"
"ENSMUSG00000001119",0.158056957340579,1,"Col6a1","non-significant"
"ENSMUSG00000001120",0.0163003661744324,1,"Pcbp3","non-significant"
"ENSMUSG00000001123",0.226882664875099,1,"Lgals9","non-significant"
"ENSMUSG00000001127",0.0354192433471311,1,"Araf","non-significant"
"ENSMUSG00000001128",0.0651486536399951,1,"Cfp","non-significant"
"ENSMUSG00000001131",-0.271559387078949,1,"Timp1","non-significant"
"ENSMUSG00000001134",0.10717888992891,1,"Uxt","non-significant"
"ENSMUSG00000001138",0.0279842717813061,1,"Cnnm3","non-significant"
"ENSMUSG00000001143",-0.059761270448511,1,"Lman2l","non-significant"
"ENSMUSG00000001150",-0.128194200213339,1,"Mcm3ap","non-significant"
"ENSMUSG00000001151",-0.145297583418678,1,"Pcnt","non-significant"
"ENSMUSG00000001155",-2.31452895254633,1,"Ftcd","non-significant"
"ENSMUSG00000001156",0.141469784500865,1,"Mxd1","non-significant"
"ENSMUSG00000001157",-0.0209786977699788,1,"Gmcl1","non-significant"
"ENSMUSG00000001158",0.136659025682062,1,"Snrnp27","non-significant"
"ENSMUSG00000001166",-0.264060725964641,1,"Oas1c","non-significant"
"ENSMUSG00000001173",-0.240362272590272,1,"Ocrl","non-significant"
"ENSMUSG00000001175",-0.00779751938082397,1,"Calm1","non-significant"
"ENSMUSG00000001211",0.0661980093863704,1,"Agpat3","non-significant"
"ENSMUSG00000001225",1.41023367691432,1,"Slc26a3","non-significant"
"ENSMUSG00000001227",0.465339096792501,1,"Sema6b","non-significant"
"ENSMUSG00000001228",-0.20874692378543,1,"Uhrf1","non-significant"
"ENSMUSG00000001229",-0.0535243446227964,1,"Dpp9","non-significant"
"ENSMUSG00000001240",0.151844816958999,1,"Ramp2","non-significant"
"ENSMUSG00000001247",-0.109183037186064,1,"Lsr","non-significant"
"ENSMUSG00000001248",0.0573111894513076,1,"Gramd1a","non-significant"
